1883: oifs taskset -c 108-111
1857: oifs taskset -c 4-7
2069: oifs taskset -c 84-87
1874: oifs taskset -c 72-75
2074: oifs taskset -c 104-107
1935: oifs taskset -c 60-63
1942: oifs taskset -c 88-91
1860: oifs taskset -c 16-19
2072: oifs taskset -c 96-99
1941: oifs taskset -c 84-87
1977: oifs taskset -c 100-103
1873: oifs taskset -c 68-71
1926: oifs taskset -c 24-27
2077: oifs taskset -c 116-119
1940: oifs taskset -c 80-83
1880: oifs taskset -c 96-99
1983: oifs taskset -c 124-127
1886: oifs taskset -c 120-123
1979: oifs taskset -c 108-111
1939: oifs taskset -c 76-79
1858: oifs taskset -c 8-11
2065: oifs taskset -c 68-71
1927: oifs taskset -c 28-31
1877: oifs taskset -c 84-87
1965: oifs taskset -c 52-55
1947: oifs taskset -c 108-111
1922: oifs taskset -c 8-11
2078: oifs taskset -c 120-123
1971: oifs taskset -c 76-79
1864: oifs taskset -c 32-35
1936: oifs taskset -c 64-67
1875: oifs taskset -c 76-79
2066: oifs taskset -c 72-75
1882: oifs taskset -c 104-107
1943: oifs taskset -c 92-95
1952: oifs taskset -c 0-3
2067: oifs taskset -c 76-79
1967: oifs taskset -c 60-63
1884: oifs taskset -c 112-115
1946: oifs taskset -c 104-107
1889: oifs taskset -c 4-7
1980: oifs taskset -c 112-115
1861: oifs taskset -c 20-23
1966: oifs taskset -c 56-59
1920: oifs taskset -c 0-3
1961: oifs taskset -c 36-39
1863: oifs taskset -c 28-31
1963: oifs taskset -c 44-47
1879: oifs taskset -c 92-95
1933: oifs taskset -c 52-55
1978: oifs taskset -c 104-107
1856: oifs taskset -c 0-3
1976: oifs taskset -c 96-99
1887: oifs taskset -c 124-127
1930: oifs taskset -c 40-43
1960: oifs taskset -c 32-35
1876: oifs taskset -c 80-83
1896: oifs taskset -c 32-35
1955: oifs taskset -c 12-15
1885: oifs taskset -c 116-119
1948: oifs taskset -c 112-115
1981: oifs taskset -c 116-119
1973: oifs taskset -c 84-87
1921: oifs taskset -c 4-7
1964: oifs taskset -c 48-51
1957: oifs taskset -c 20-23
1949: oifs taskset -c 116-119
1953: oifs taskset -c 4-7
1945: oifs taskset -c 100-103
1975: oifs taskset -c 92-95
1931: oifs taskset -c 44-47
1890: oifs taskset -c 8-11
1928: oifs taskset -c 32-35
1962: oifs taskset -c 40-43
1954: oifs taskset -c 8-11
1924: oifs taskset -c 16-19
1929: oifs taskset -c 36-39
1982: oifs taskset -c 120-123
1895: oifs taskset -c 28-31
1972: oifs taskset -c 80-83
1950: oifs taskset -c 120-123
1934: oifs taskset -c 56-59
1959: oifs taskset -c 28-31
1901: oifs taskset -c 52-55
1956: oifs taskset -c 16-19
1932: oifs taskset -c 48-51
1899: oifs taskset -c 44-47
1969: oifs taskset -c 68-71
1944: oifs taskset -c 96-99
1902: oifs taskset -c 56-59
1951: oifs taskset -c 124-127
1974: oifs taskset -c 88-91
1968: oifs taskset -c 64-67
1891: oifs taskset -c 12-15
1970: oifs taskset -c 72-75
1898: oifs taskset -c 40-43
1958: oifs taskset -c 24-27
1908: oifs taskset -c 80-83
1907: oifs taskset -c 76-79
1897: oifs taskset -c 36-39
1911: oifs taskset -c 92-95
1894: oifs taskset -c 24-27
1888: oifs taskset -c 0-3
1904: oifs taskset -c 64-67
1906: oifs taskset -c 72-75
1917: oifs taskset -c 116-119
1915: oifs taskset -c 108-111
1903: oifs taskset -c 60-63
1913: oifs taskset -c 100-103
1909: oifs taskset -c 84-87
1910: oifs taskset -c 88-91
1893: oifs taskset -c 20-23
1900: oifs taskset -c 48-51
1914: oifs taskset -c 104-107
1916: oifs taskset -c 112-115
1892: oifs taskset -c 16-19
1912: oifs taskset -c 96-99
1905: oifs taskset -c 68-71
1919: oifs taskset -c 124-127
1918: oifs taskset -c 120-123
2189: lpj_guess taskset -c 52-55
2190: lpj_guess taskset -c 56-59
2192: lpj_guess taskset -c 64-67
2193: lpj_guess taskset -c 68-71
2203: lpj_guess taskset -c 108-111
2202: lpj_guess taskset -c 104-107
2206: lpj_guess taskset -c 120-123
2207: lpj_guess taskset -c 124-127
